"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C3AR1",94.8361254506198,0.97412969174665,0.305839774530491,3.18509812283926,0.00144704934197726,0.223907394610235
"MIR9.1HG",26.9114461956041,-1.66584381146622,0.524562194583855,-3.17568408220452,0.00149483645786859,0.229809406158391
"FSIP2",1288.6208269806,0.767459693713878,0.242008172783562,3.17121395069682,0.00151803292473371,0.231879529253074
"GIMAP1",348.341582164301,0.445819164361805,0.141228475766548,3.15672290550489,0.00159552886434506,0.242164696232346
"CISH",194.962068897269,0.564429991041027,0.180843550066952,3.12109550399813,0.00180179589702853,0.268622298049067
"CXCR2",152.980961867069,-1.15481559734802,0.370017698527187,-3.12097394785339,0.00180253980051519,0.268622298049067
"NARF",11914.2693328105,-0.162953540395033,0.052215478645044,-3.1207899386076,0.00180366644373875,0.268622298049067
"HEXIM1",9400.11699003959,-0.257436501112445,0.0828049349525782,-3.10895119064916,0.00187752732242639,0.277885705379493
"MORC2",8095.29458087183,-0.175534623874443,0.0566445110154791,-3.09888144018889,0.00194252737541374,0.285731387831692
"PRH1.TAS2R14",1458.37997074326,0.271682001722651,0.0878381967917883,3.09298245689908,0.00198155848737951,0.287596018330402
"TAS2R14",1458.37997074326,0.271682001722651,0.0878381967917883,3.09298245689908,0.00198155848737951,0.287596018330402
"OASL",141.925900323584,-0.950282997897842,0.307523582869014,-3.09011422484175,0.0020007953260186,0.287596018330402
"SOX8",61.1624453975396,1.84230651852053,0.596537031309831,3.08833554637058,0.00201281062210848,0.287596018330402
"KLRK1.AS1",61.2120530877259,1.09963483091954,0.356351571950637,3.08581445256502,0.00202995453224289,0.287596018330402
"LYPD2",11.1624705779842,1.95078796099996,0.632445414525592,3.08451593796958,0.00203883685750032,0.287596018330402
"DNAJC18",1730.14360198808,-0.290204869452704,0.0940881998870026,-3.08439177071336,0.00203968807326526,0.287596018330402
"ALDH1A1",8.78264645082384,5.13516379999099,1.6699339360407,3.07507003071398,0.00210453131827928,0.294993392842805
"IGKV2.28",70.2772988863208,1.1210859209112,0.365126454090428,3.07040453615983,0.00213769012083347,0.297888993504917
"TJP2",1887.37816324119,0.535851350384631,0.174845596146408,3.06471173535267,0.00217879887866074,0.3018523167419
"SNHG21",1191.81780403444,0.234890002745605,0.0769598899970268,3.0521093878211,0.00227239273404818,0.310450680226024
"MAFB",217.720786364505,1.53673619785315,0.503563755784839,3.05172121742169,0.00227533317516353,0.310450680226024
"PLA2G1B",2.25417834654936,3.51171822896729,1.15096301829816,3.05111300114561,0.00227994750260415,0.310450680226024
